"city","live_pincode","has_trainer","nearest_live_with_trainer"
"gurgaon","122079","NO","122010"
"gurgaon","122080","NO","122010"
"gurgaon","122081","NO","122010"
"gurgaon","122082","NO","122010"
"gurgaon","122083","NO","122010"
"gurgaon","122084","NO","122010"
"gurgaon","122085","NO","122010"
"gurgaon","122086","NO","122010"
"gurgaon","122087","NO","122010"
"gurgaon","122088","NO","122010"
"gurgaon","122089","NO","122010"
"gurgaon","122090","NO","122010"
"gurgaon","122091","NO","122010"
"gurgaon","122092","NO","122010"
"gurgaon","122093","NO","122010"
"gurgaon","122094","NO","122010"
"gurgaon","122095","NO","122010"
"gurgaon","122096","NO","122010"
"gurgaon","122097","NO","122010"
"gurgaon","122098","NO","122010"
"gurgaon","122099","NO","122010"
"gurgaon","122100","NO","122010"
"gurgaon","122101","NO","122010"
"gurgaon","122102","NO","122010"
"gurgaon","122103","NO","122010"
"gurgaon","122104","NO","122010"
"gurgaon","122105","NO","122010"
"gurgaon","122106","NO","122010"
"gurgaon","122107","NO","122010"
"gurgaon","122108","NO","122010"
"gurgaon","122109","NO","122010"
"gurgaon","122110","NO","122010"
"gurgaon","122111","NO","122010"
"gurgaon","122112","NO","122010"
"gurgaon","122113","NO","122010"
"gurgaon","122114","NO","122010"
"gurgaon","122115","NO","122010"
"faridabad","121011","NO","121010"
"faridabad","121012","NO","121010"
"faridabad","121013","NO","121010"
"faridabad","121014","NO","121010"
"faridabad","121015","NO","121010"
"faridabad","121016","NO","121010"
"faridabad","121017","NO","121010"
"faridabad","121018","NO","121010"
"faridabad","121019","NO","121010"
"faridabad","121020","NO","121010"
"faridabad","121021","NO","121010"
"faridabad","121022","NO","121010"
"faridabad","121023","NO","121010"
"faridabad","121024","NO","121010"
"faridabad","121025","NO","121010"
"faridabad","121026","NO","121010"
"faridabad","121027","NO","121010"
"faridabad","121028","NO","121010"
"faridabad","121029","NO","121010"
"faridabad","121030","NO","121010"
"faridabad","121101","NO","121010"
"faridabad","121102","NO","121010"
"faridabad","121103","NO","121010"
"faridabad","121104","NO","121010"
"faridabad","121105","NO","121010"
"faridabad","121106","NO","121010"
"faridabad","121107","NO","121010"
"faridabad","121108","NO","121010"
"faridabad","121109","NO","121010"
"faridabad","121110","NO","121010"
"jaipur","302011","NO","302010"
"jaipur","302012","NO","302010"
"jaipur","302013","NO","302010"
"jaipur","302014","NO","302010"
"jaipur","302015","NO","302010"
"jaipur","302016","NO","302010"
"jaipur","302017","NO","302010"
"jaipur","302018","NO","302010"
"jaipur","302019","NO","302010"
"jaipur","302020","NO","302010"
"jaipur","302021","NO","302010"
"jaipur","302022","NO","302010"
"jaipur","302023","NO","302010"
"jaipur","302024","NO","302010"
"jaipur","302025","NO","302010"
"jaipur","302026","NO","302010"
"jaipur","302027","NO","302010"
"jaipur","302028","NO","302010"
"jaipur","302029","NO","302010"
"jaipur","302030","NO","302010"
"jaipur","302031","NO","302010"
"jaipur","302032","NO","302010"
"jaipur","302033","NO","302010"
"jaipur","302034","NO","302010"
"jaipur","302035","NO","302010"
"jaipur","302036","NO","302010"
"jaipur","302037","NO","302010"
"jaipur","302038","NO","302010"
"jaipur","302039","NO","302010"
"jaipur","302040","NO","302010"
"jaipur","302041","NO","302010"
"jaipur","302042","NO","302010"
"jaipur","302043","NO","302010"
"jaipur","302044","NO","302010"
"jaipur","302045","NO","302010"
"jaipur","302046","NO","302010"
"jaipur","302047","NO","302010"
"jaipur","302048","NO","302010"
"jaipur","302049","NO","302010"
"jaipur","302050","NO","302010"
"ahmedabad","380011","NO","380010"
"ahmedabad","380012","NO","380010"
"ahmedabad","380013","NO","380010"
"ahmedabad","380014","NO","380010"
"ahmedabad","380015","NO","380010"
"ahmedabad","380016","NO","380010"
"ahmedabad","380017","NO","380010"
"ahmedabad","380018","NO","380010"
"ahmedabad","380019","NO","380010"
"ahmedabad","380020","NO","380010"
"ahmedabad","380021","NO","380010"
"ahmedabad","380022","NO","380010"
"ahmedabad","380023","NO","380010"
"ahmedabad","380024","NO","380010"
"ahmedabad","380025","NO","380010"
"ahmedabad","380026","NO","380010"
"ahmedabad","380027","NO","380010"
"ahmedabad","380028","NO","380010"
"ahmedabad","380029","NO","380010"
"ahmedabad","380030","NO","380010"
"ahmedabad","380031","NO","380010"
"ahmedabad","380032","NO","380010"
"ahmedabad","380033","NO","380010"
"ahmedabad","380034","NO","380010"
"ahmedabad","380035","NO","380010"
"ahmedabad","380036","NO","380010"
"ahmedabad","380037","NO","380010"
"ahmedabad","380038","NO","380010"
"ahmedabad","380039","NO","380010"
"ahmedabad","380040","NO","380010"
"ahmedabad","380041","NO","380010"
"ahmedabad","380042","NO","380010"
"ahmedabad","380043","NO","380010"
"ahmedabad","380044","NO","380010"
"ahmedabad","380045","NO","380010"
"ahmedabad","380046","NO","380010"
"ahmedabad","380047","NO","380010"
"ahmedabad","380048","NO","380010"
"ahmedabad","380049","NO","380010"
"ahmedabad","380050","NO","380010"
"ahmedabad","380051","NO","380010"
"ahmedabad","380052","NO","380010"
"ahmedabad","380053","NO","380010"
"ahmedabad","380054","NO","380010"
"ahmedabad","380055","NO","380010"
"ahmedabad","380056","NO","380010"
"ahmedabad","380057","NO","380010"
"ahmedabad","380058","NO","380010"
"ahmedabad","380059","NO","380010"
"ahmedabad","380060","NO","380010"
"ahmedabad","380061","NO","380010"
